,Ages,Area,Baths,Condition,FloorId,Garages,Location3,Stratum,Rooms,FormatedPrice
0,1 a 8 años,68,2,Excelente,4,2, Norte,5,1,430000.0
1,16 a 30 años,60,1,Bueno,5,1, Occidente,3,3,950000.0
2,16 a 30 años,259,5,Bueno,0,3, Norte,6,4,1190000.0
3,1 a 8 años,175,5,Excelente,2,2, Norte,6,3,1700000.0
4,Más de 30 años,429,4,Bueno,0,3, Chapinero,6,3,2872000.0
8,9 a 15 años,12,0,Bueno,1,1, Norte,6,0,30164181.0
11,9 a 15 años,48,1,,0,, Sur,2,3,45000000.0
12,9 a 15 años,48,1,,0,, Sur,2,3,45000000.0
24,9 a 15 años,45,1,Bueno,6,, Sur,2,2,59900000.0
27,Menos de 1 año,47,1,,0,, Sur,2,3,62000000.0
28,1 a 8 años,56,1,Excelente,1,1, Sur,1,2,62000000.0
32,16 a 30 años,32,1,Bueno,1,, Sur,2,2,67000000.0
33,1 a 8 años,36,1,Remodelar,6,1, Sur,2,2,67000000.0
42,1 a 8 años,48,1,Bueno,4,, Sur,2,2,69900000.0
52,1 a 8 años,46,1,Excelente,5,, Sur,2,2,74000000.0
53,9 a 15 años,39,1,Bueno,3,, Sur,2,2,74900000.0
54,9 a 15 años,53,1,Bueno,6,, Sur,2,3,74900000.0
59,1 a 8 años,45,1,,6,, Sur,2,3,75000000.0
62,1 a 8 años,45,1,,3,, Sur,2,2,75000000.0
63,9 a 15 años,42,1,Remodelar,3,1, Sur,2,3,75000000.0
66,9 a 15 años,38,1,Excelente,5,Más de 10, Sur,2,2,75000000.0
67,9 a 15 años,47,1,Bueno,4,, Sur,2,3,75000000.0
68,9 a 15 años,53,1,,5,, Sur,2,3,75000000.0
74,1 a 8 años,42,1,Excelente,6,, Sur,2,2,77000000.0
77,Menos de 1 año,40,1,Remodelar,2,, Sur,2,2,77000000.0
81,9 a 15 años,42,1,Excelente,6,1, Sur,2,2,77900000.0
83,1 a 8 años,45,1,Excelente,5,, Sur,2,2,78000000.0
85,1 a 8 años,45,1,Excelente,1,, Sur,3,2,78000000.0
88,1 a 8 años,50,0,Bueno,4,, Sur,2,0,79900000.0
90,1 a 8 años,62,2,Bueno,1,, Sur,2,3,79900000.0
91,16 a 30 años,36,1,Excelente,6,1, Sur,2,3,79900000.0
95,1 a 8 años,36,1,Excelente,6,, Sur,2,2,80000000.0
96,9 a 15 años,50,1,Excelente,2,, Sur,2,3,80000000.0
97,9 a 15 años,49,1,,0,, Sur,3,2,80000000.0
98,1 a 8 años,48,1,,0,1, Sur,2,3,80000000.0
100,1 a 8 años,39,1,Excelente,6,, Sur,2,2,80000000.0
102,1 a 8 años,36,1,Excelente,6,, Sur,2,2,80000000.0
104,1 a 8 años,45,1,Excelente,1,, Sur,3,2,80000000.0
107,1 a 8 años,45,1,Bueno,5,, Sur,2,2,80000000.0
109,9 a 15 años,46,1,,0,, Sur,2,2,80000000.0
112,1 a 8 años,60,1,,0,1, Sur,2,2,80000000.0
114,9 a 15 años,39,1,,4,, Sur,2,3,80000000.0
117,9 a 15 años,42,1,Bueno,6,, Occidente,2,2,80000000.0
118,16 a 30 años,47,1,,0,1, Sur,2,2,80000000.0
122,9 a 15 años,40,1,Excelente,5,1, Sur,2,2,82000000.0
126,9 a 15 años,45,1,Excelente,0,, Sur,2,2,84900000.0
128,9 a 15 años,45,1,Excelente,1,, Sur,2,2,84900000.0
130,1 a 8 años,43,1,Excelente,1,, Sur,2,2,84950000.0
132,1 a 8 años,42,1,Excelente,2,, Sur,2,2,85000000.0
135,9 a 15 años,40,1,Bueno,5,, Sur,3,2,85000000.0
138,1 a 8 años,48,1,,1,, Sur,2,2,85000000.0
139,Menos de 1 año,50,1,Excelente,5,, Sur,2,3,85000000.0
141,1 a 8 años,46,1,Excelente,0,, Sur,3,3,85000000.0
142,1 a 8 años,57,2,,0,2, Sur,2,3,85000000.0
143,1 a 8 años,48,1,Bueno,4,1, Sur,2,2,85000000.0
144,9 a 15 años,42,1,Bueno,4,, Noroccidente,3,2,85000000.0
146,Menos de 1 año,74,2,Excelente,2,, Sur,2,3,85000000.0
147,9 a 15 años,40,1,Bueno,2,2, Sur,2,2,85000000.0
148,1 a 8 años,42,1,,0,, Sur,2,3,85000000.0
151,16 a 30 años,47,1,,0,1, Sur,2,3,85000000.0
152,1 a 8 años,55,2,Excelente,5,, Noroccidente,2,3,85000000.0
153,9 a 15 años,36,1,Bueno,3,, Sur,2,2,85000000.0
154,9 a 15 años,42,1,,0,1, Sur,2,3,85000000.0
157,1 a 8 años,48,1,Excelente,1,1, Sur,2,2,85000000.0
162,9 a 15 años,38,1,Excelente,5,, Sur,2,2,87000000.0
163,1 a 8 años,50,1,Excelente,6,, Sur,2,3,87000000.0
164,1 a 8 años,42,1,Excelente,4,, Sur,2,2,87000000.0
166,9 a 15 años,38,1,Excelente,5,, Sur,2,2,87000000.0
169,1 a 8 años,42,1,Excelente,6,1, Sur,2,4,89000000.0
172,1 a 8 años,53,1,Bueno,5,, Sur,2,2,89900000.0
173,1 a 8 años,32,1,,0,, Occidente,2,1,89900000.0
174,9 a 15 años,38,2,Excelente,3,, Sur,2,2,89900000.0
176,9 a 15 años,42,1,Excelente,2,1, Noroccidente,2,2,89900000.0
179,1 a 8 años,42,1,Bueno,6,, Sur,2,2,89900000.0
182,1 a 8 años,41,1,Bueno,6,, Occidente,2,3,89900000.0
183,9 a 15 años,40,1,Bueno,2,, Sur,2,3,89900000.0
184,1 a 8 años,41,1,Excelente,3,, Noroccidente,2,2,89950000.0
185,1 a 8 años,42,1,Excelente,3,, Sur,2,2,90000000.0
186,1 a 8 años,42,1,Excelente,3,, Sur,2,2,90000000.0
192,1 a 8 años,42,1,Excelente,3,, Sur,2,2,90000000.0
194,9 a 15 años,47,1,Bueno,3,, Sur,2,2,90000000.0
195,1 a 8 años,48023,1,Bueno,0,, Sur,2,2,90000000.0
199,1 a 8 años,52,1,Excelente,3,, Sur,2,2,90000000.0
200,9 a 15 años,39,1,,0,, Sur,2,2,90000000.0
