,Ages,Area,Baths,Condition,Floor,Garages,Location3,Stratum,Rooms,FormatedPrice
7,Menos de 1 año,108,3,Excelente,3º,1, Occidente,3,3,30000000.0
10,9 a 15 años,90,2,,,, Sur,1,4,40000000.0
13,9 a 15 años,72,1,Bueno,1º,, Sur,1,4,47000000.0
14,1 a 8 años,62,1,,,, Sur,1,3,47000000.0
16,9 a 15 años,77,1,,,, Sur,1,4,50000000.0
17,1 a 8 años,6,1,,,1, Sur,1,2,50000000.0
18,1 a 8 años,42,1,,,, Sur,2,2,50000000.0
20,9 a 15 años,65,1,Bueno,1º,1, Sur,2,2,52000000.0
21,1 a 8 años,72,1,Bueno,1º,, Sur,1,3,55000000.0
22,1 a 8 años,120,2,Remodelar,2º,, Sur,2,2,59000000.0
23,1 a 8 años,23,1,Bueno,1º,, Sur,2,2,59900000.0
30,16 a 30 años,57,1,Excelente,,, Sur,1,2,65000000.0
31,1 a 8 años,90,3,Excelente,3º,1, Noroccidente,2,4,65000000.0
35,9 a 15 años,85,1,Bueno,1º,, Sur,2,3,68000000.0
37,1 a 8 años,108,1,,,, Sur,2,3,69000000.0
38,9 a 15 años,49,1,Bueno,3º,, Sur,2,2,69900000.0
39,9 a 15 años,49,1,Bueno,3º,, Sur,2,2,69900000.0
40,1 a 8 años,72,2,Bueno,,, Noroccidente,2,2,69900000.0
41,1 a 8 años,71,1,Bueno,1º,, Sur,1,3,69900000.0
43,9 a 15 años,49,1,Bueno,3º,1, Sur,3,2,70000000.0
44,1 a 8 años,162,2,,2º,1, Sur,2,4,70000000.0
45,1 a 8 años,162,2,,2º,1, Sur,2,4,70000000.0
47,1 a 8 años,72,1,Bueno,1º,, Sur,2,3,70000000.0
48,1 a 8 años,76,1,,,, Sur,2,3,72000000.0
49,1 a 8 años,76,1,,,, Sur,2,3,72000000.0
55,9 a 15 años,42,1,Excelente,2º,, Sur,2,2,74900000.0
56,Más de 30 años,108,2,Bueno,2º,, Sur,2,4,74900000.0
58,1 a 8 años,52,1,Excelente,,, Sur,2,2,74900000.0
60,9 a 15 años,72,1,Remodelar,3º,, Sur,2,3,75000000.0
